Cruise_no,Ship_code,Year,Season,YearSeason,Line,Station,Species,Larval_ID,SL_mm,Phe_d15N,TP_Glu_Phe,TP_Trp_Scr,Energy,Season_Index
8403,JD,1984,Spring,1984Spring,83.3,55,Anchovy,E66,18.17,2.83,3.02,2.83,1.47,101
8403,JD,1984,Spring,1984Spring,83.3,70,Anchovy,E68,18.83,4.46,2.74,2.22,6.06,101
8403,JD,1984,Spring,1984Spring,83.3,70,Anchovy,E70,20.17,0.74,2.86,2.53,2.98,101
8403,JD,1984,Spring,1984Spring,86.7,45,Anchovy,E74,19.17,1.55,3.65,2.78,1.65,101
8403,JD,1984,Spring,1984Spring,86.7,50,Anchovy,E75,20.17,-0.38,3.62,2.98,1.04,101
8403,JD,1984,Spring,1984Spring,86.7,55,Anchovy,E89,21.33,4.32,2.34,1.90,12.48,101
8403,JD,1984,Spring,1984Spring,93.3,70,Anchovy,E96,19.5,0.69,3.18,2.47,3.37,101
8605,JD,1986,Spring,1986Spring,76.7,70,Anchovy,F14,22.33,8.44,2.71,2.42,3.80,109
8605,JD,1986,Spring,1986Spring,80,51,Anchovy,F15,22.33,4.67,2.87,2.71,1.93,109
8605,JD,1986,Spring,1986Spring,83.3,51,Anchovy,F19,19.83,3.39,2.97,2.52,3.05,109
8605,JD,1986,Spring,1986Spring,83.3,51,Anchovy,F20,18.5,4.88,2.49,2.13,7.35,109
8605,JD,1986,Spring,1986Spring,86.7,33,Anchovy,F23,20,-0.64,3.55,2.94,1.16,109
8605,JD,1986,Spring,1986Spring,86.7,45,Anchovy,F25,18.5,3.01,2.95,2.57,2.72,109
8605,JD,1986,Spring,1986Spring,86.7,55,Anchovy,F28,19.17,2.48,3.13,2.46,3.47,109
8605,JD,1986,Spring,1986Spring,86.7,55,Anchovy,F29,18.83,-0.31,3.34,2.53,2.95,109
8605,JD,1986,Spring,1986Spring,86.7,60,Anchovy,F31,18.33,2.54,2.94,2.17,6.69,109
8605,JD,1986,Spring,1986Spring,90,53,Anchovy,F32,18.33,2.24,3.01,2.59,2.57,109
8605,JD,1986,Spring,1986Spring,93.3,35,Anchovy,F37,18.5,3.13,2.87,2.69,2.06,109
8605,JD,1986,Spring,1986Spring,93.3,70,Anchovy,F39,20,1.92,3.10,2.50,3.15,109
8703,JD,1987,Spring,1987Spring,76.7,51,Anchovy,G1,18.67,-1.71,3.79,3.03,0.93,113
8703,JD,1987,Spring,1987Spring,81.8,46.9,Anchovy,G10,19.83,4.80,2.68,2.64,2.30,113
8703,JD,1987,Spring,1987Spring,86.7,100,Anchovy,G15,18.83,-2.19,3.09,2.87,1.34,113
8703,JD,1987,Spring,1987Spring,90,70,Anchovy,G16,20,1.23,3.48,2.90,1.25,113
8703,JD,1987,Spring,1987Spring,90,80,Anchovy,G17,18.83,3.37,3.18,2.92,1.19,113
8703,JD,1987,Spring,1987Spring,76.7,51,Anchovy,G2,20.67,5.71,2.89,2.51,3.08,113
8705,JD,1987,Spring,1987Spring,83.3,60,Anchovy,G34,19.67,0.73,3.09,2.68,2.08,113
8705,JD,1987,Spring,1987Spring,83.3,60,Anchovy,G35,19.33,-0.22,3.50,2.87,1.34,113
8705,JD,1987,Spring,1987Spring,86.7,45,Anchovy,G36,18,3.26,3.17,2.79,1.64,113
8705,JD,1987,Spring,1987Spring,90,70,Anchovy,G38,20.83,0.47,3.41,2.77,1.69,113
8703,JD,1987,Spring,1987Spring,76.7,51,Anchovy,G4,18.33,4.18,2.94,2.83,1.48,113
8705,JD,1987,Spring,1987Spring,90,70,Anchovy,G42,19.17,3.13,3.20,2.80,1.60,113
8705,JD,1987,Spring,1987Spring,90,70,Anchovy,G45,18.83,-4.44,4.22,3.33,0.47,113
8705,JD,1987,Spring,1987Spring,93.3,55,Anchovy,G47,20,-0.66,3.78,2.77,1.69,113
8705,JD,1987,Spring,1987Spring,93.3,70,Anchovy,G49,20,3.15,3.02,2.90,1.25,113
8801,JD,1988,Winter,1988Winter,76.7,60,Anchovy,H1,19,1.84,2.91,2.52,2.99,119
8801,JD,1988,Winter,1988Winter,83.3,70,Anchovy,H18,18.17,-1.93,3.51,2.66,2.18,119
8801,JD,1988,Winter,1988Winter,83.3,80,Anchovy,H21,20.17,-0.66,3.39,3.09,0.82,119
8801,JD,1988,Winter,1988Winter,76.7,60,Anchovy,H3,18.83,2.20,2.73,2.45,3.53,119
8801,JD,1988,Winter,1988Winter,86.7,55,Anchovy,H30,18.33,1.62,2.64,2.69,2.02,119
8801,JD,1988,Winter,1988Winter,86.7,80,Anchovy,H31,19,-3.01,3.95,3.05,0.90,119
8801,JD,1988,Winter,1988Winter,90,45,Anchovy,H34,19.33,1.06,2.99,2.93,1.17,119
8801,JD,1988,Winter,1988Winter,90,45,Anchovy,H35,20,-1.05,3.56,2.79,1.61,119
8801,JD,1988,Winter,1988Winter,90,70,Anchovy,H38,21.17,1.33,3.42,2.82,1.52,119
8801,JD,1988,Winter,1988Winter,76.7,60,Anchovy,H4,20.83,3.33,2.56,2.30,5.02,119
8801,JD,1988,Winter,1988Winter,83.3,70,Anchovy,H9,19.83,2.15,3.12,3.22,0.61,119
8901,JD,1989,Winter,1989Winter,76.7,55,Anchovy,I13,19.67,1.99,3.16,2.62,2.39,123
8901,JD,1989,Winter,1989Winter,76.7,55,Anchovy,I14,18.17,1.17,3.27,2.93,1.18,123
8901,JD,1989,Winter,1989Winter,76.7,49,Anchovy,I2,18.67,-1.82,2.66,2.91,1.24,123
8901,JD,1989,Winter,1989Winter,81.1,46.9,Anchovy,I24,18.67,0.73,3.25,2.79,1.62,123
8901,JD,1989,Winter,1989Winter,83.3,42,Anchovy,I34,19,-1.87,3.05,2.53,2.98,123
8901,JD,1989,Winter,1989Winter,76.7,49,Anchovy,I4,21.83,2.25,2.91,2.37,4.28,123
8901,JD,1989,Winter,1989Winter,83.3,42,Anchovy,I41,18.83,1.17,3.27,3.19,0.64,123
8901,JD,1989,Winter,1989Winter,83.3,51,Anchovy,I44,19.5,0.94,2.73,2.50,3.19,123
8901,JD,1989,Winter,1989Winter,83.3,55,Anchovy,I50,20.5,2.20,2.65,2.26,5.44,123
8901,JD,1989,Winter,1989Winter,83.3,55,Anchovy,I51,18,-3.71,3.23,3.44,0.36,123
8901,JD,1989,Winter,1989Winter,76.7,49,Anchovy,I8,20.5,2.09,2.93,2.88,1.33,123
9003,JD,1990,Spring,1990Spring,76.7,55,Anchovy,J1,20.17,0.39,3.35,2.73,1.84,125
9004,JD,1990,Spring,1990Spring,80,51,Anchovy,J100,19.33,5.28,2.66,2.60,2.52,125
9004,JD,1990,Spring,1990Spring,90,45,Anchovy,J102,20.17,4.98,3.07,2.96,1.10,125
9004,JD,1990,Spring,1990Spring,90,45,Anchovy,J103,19.5,-0.28,3.63,3.20,0.64,125
9004,JD,1990,Spring,1990Spring,93.3,30,Anchovy,J104,21.17,3.25,3.06,2.60,2.52,125
9004,JD,1990,Spring,1990Spring,93.3,40,Anchovy,J105,21.67,1.77,2.72,3.11,0.78,125
9003,JD,1990,Spring,1990Spring,80,60,Anchovy,J24,20,-2.36,3.90,3.26,0.55,125
9003,JD,1990,Spring,1990Spring,81.8,46.9,Anchovy,J26,18.33,5.96,2.32,2.47,3.39,125
9003,JD,1990,Spring,1990Spring,76.7,60,Anchovy,J3,18.5,1.93,3.27,2.90,1.26,125
9003,JD,1990,Spring,1990Spring,83.3,55,Anchovy,J42,19.5,1.32,3.35,2.93,1.17,125
9003,JD,1990,Spring,1990Spring,76.7,70,Anchovy,J5,19,1.23,3.23,2.61,2.45,125
9003,JD,1990,Spring,1990Spring,86.7,35,Anchovy,J55,18.67,-1.21,3.44,2.76,1.74,125
9003,JD,1990,Spring,1990Spring,90,53,Anchovy,J63,19.83,3.47,3.03,2.38,4.16,125
9003,JD,1990,Spring,1990Spring,90,60,Anchovy,J64,19.17,2.06,3.47,2.77,1.68,125
9003,JD,1990,Spring,1990Spring,93.3,55,Anchovy,J84,19.67,2.83,2.49,2.41,3.88,125
9003,JD,1990,Spring,1990Spring,93.3,60,Anchovy,J95,20,2.29,3.06,2.82,1.52,125
9003,JD,1990,Spring,1990Spring,93.3,70,Anchovy,J96,21,1.61,3.12,2.37,4.25,125
9004,JD,1990,Spring,1990Spring,80,51,Anchovy,J99,22,2.41,3.44,2.59,2.59,125
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,K17,19.17,1.38,3.58,3.05,0.89,129
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,K19,18.67,1.59,3.38,2.96,1.09,129
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,K3,18.33,2.63,2.98,2.92,1.20,129
9204,JD,1992,Spring,1992Spring,93.3,40,Anchovy,L14,19.33,0.19,3.36,2.81,1.54,133
9204,JD,1992,Spring,1992Spring,93.3,60,Anchovy,L18,18.33,1.52,2.93,3.08,0.84,133
9204,JD,1992,Spring,1992Spring,93.3,60,Anchovy,L19,19,3.22,2.74,2.26,5.54,133
9204,JD,1992,Spring,1992Spring,93.3,60,Anchovy,L20,20.17,0.28,3.26,3.00,1.01,133
9204,JD,1992,Spring,1992Spring,76.7,90,Anchovy,L3,18.5,4.69,2.99,2.64,2.31,133
9204,JD,1992,Spring,1992Spring,80,70,Anchovy,L5,22.5,3.08,3.29,3.10,0.80,133
9204,JD,1992,Spring,1992Spring,86.7,50,Anchovy,L6,18.17,0.27,3.31,2.73,1.86,133
9204,JD,1992,Spring,1992Spring,86.7,55,Anchovy,L7,18,1.69,3.15,2.75,1.76,133
9304,JD,1993,Spring,1993Spring,80,55,Anchovy,M1,19.33,2.42,2.71,2.81,1.54,137
9304,JD,1993,Spring,1993Spring,80,55,Anchovy,M2,22.17,-0.21,3.21,2.96,1.10,137
9304,JD,1993,Spring,1993Spring,80,55,Anchovy,M3,18.17,1.93,3.05,2.54,2.85,137
9304,JD,1993,Spring,1993Spring,86.7,50,Anchovy,M6,18,5.38,2.53,2.35,4.51,137
9304,JD,1993,Spring,1993Spring,86.7,60,Anchovy,M7,22.33,3.91,3.15,2.85,1.43,137
9304,JD,1993,Spring,1993Spring,93.3,28,Anchovy,M8,20.33,5.87,2.61,2.77,1.68,137
9304,JD,1993,Spring,1993Spring,93.3,28,Anchovy,M9,21.33,7.38,2.57,2.60,2.51,137
9401,JD,1994,Winter,1994Winter,80,70,Anchovy,N15,18.67,3.08,3.23,2.87,1.35,143
9401,JD,1994,Winter,1994Winter,83.3,60,Anchovy,N16,20.17,2.84,3.24,2.58,2.65,143
9401,JD,1994,Winter,1994Winter,83.3,70,Anchovy,N17,19.33,9.84,2.28,2.15,7.07,143
9401,JD,1994,Winter,1994Winter,83.3,70,Anchovy,N18,18.33,-1.44,3.94,2.88,1.31,143
9401,JD,1994,Winter,1994Winter,80,55,Anchovy,N9,19.17,-0.33,3.69,3.03,0.94,143
9604,JD,1996,Spring,1996Spring,76.7,49,Anchovy,O1,21.5,4.41,3.04,2.78,1.65,149
9604,JD,1996,Spring,1996Spring,93.3,40,Anchovy,O15,20.5,1.96,2.65,2.66,2.19,149
9604,JD,1996,Spring,1996Spring,80,51,Anchovy,O2,18.5,2.11,2.93,2.75,1.78,149
9604,JD,1996,Spring,1996Spring,83.3,70,Anchovy,O3,22.5,1.68,3.19,2.65,2.25,149
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O5,19,1.83,3.43,2.46,3.45,149
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O6,19.33,-0.31,2.99,2.68,2.09,149
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O7,19.17,4.16,2.69,2.48,3.33,149
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O9,18.5,2.91,2.90,2.40,3.95,149
9804,JD,1998,Spring,1998Spring,93.3,28,Anchovy,P16,19.17,0.41,3.57,3.04,0.92,157
9804,JD,1998,Spring,1998Spring,93.3,28,Anchovy,P18,18.33,2.34,2.88,2.68,2.07,157
9804,JD,1998,Spring,1998Spring,83.3,55,Anchovy,P6,20.67,2.48,2.84,2.60,2.51,157
9804,JD,1998,Spring,1998Spring,90,28,Anchovy,P7,18.67,5.60,2.88,2.68,2.10,157
504,NH,2005,Spring,2005Spring,93.3,35,Anchovy,Q13,19.17,6.19,2.39,2.57,2.71,185
504,NH,2005,Spring,2005Spring,93.3,35,Anchovy,Q15,21,2.59,2.66,2.37,4.29,185
504,NH,2005,Spring,2005Spring,86.7,35,Anchovy,Q2,19.17,2.71,2.97,2.45,3.56,185
504,NH,2005,Spring,2005Spring,86.7,35,Anchovy,Q3,19.83,1.60,3.51,3.09,0.82,185
504,NH,2005,Spring,2005Spring,93.3,40,Anchovy,Q34,20.83,4.47,2.81,2.44,3.66,185
504,NH,2005,Spring,2005Spring,90,37,Anchovy,Q7,20.83,4.62,2.86,2.60,2.49,185
504,NH,2005,Spring,2005Spring,90,37,Anchovy,Q9,18,3.41,3.03,2.65,2.22,185
8104,PN,1981,Spring,1981Spring,83.3,60,Anchovy,R17,19.17,5.48,2.78,2.89,1.30,89
8104,PN,1981,Spring,1981Spring,80,55,Anchovy,R2,18.17,-5.38,4.59,3.83,0.15,89
8104,PN,1981,Spring,1981Spring,86.7,50,Anchovy,R24,21.83,8.79,2.10,1.93,11.68,89
8104,PN,1981,Spring,1981Spring,80,60,Anchovy,R4,20.33,0.71,3.52,2.73,1.86,89
8104,PN,1981,Spring,1981Spring,80,60,Anchovy,R5,18.33,3.92,3.08,2.28,5.26,89
8104,PN,1981,Spring,1981Spring,80,60,Anchovy,R6,20.5,6.16,2.76,2.35,4.44,89
7503,JD,1975,Spring,1975Spring,81.5,46,Anchovy,T12,19.17,-5.76,3.02,3.07,0.85,65
7503,JD,1975,Spring,1975Spring,83.3,43,Anchovy,T18,18.33,0.42,3.09,2.88,1.33,65
7503,JD,1975,Spring,1975Spring,83.3,50,Anchovy,T27,18.67,3.32,2.64,2.37,4.29,65
7503,JD,1975,Spring,1975Spring,86.7,32.5,Anchovy,T29,22.33,1.55,3.57,2.74,1.84,65
7503,JD,1975,Spring,1975Spring,86.7,32.5,Anchovy,T36,18.33,0.91,2.86,2.49,3.27,65
7503,JD,1975,Spring,1975Spring,86.7,32.7,Anchovy,T38,18.5,4.30,2.79,2.51,3.10,65
7503,JD,1975,Spring,1975Spring,86.7,32.7,Anchovy,T40,20,5.36,2.40,2.46,3.45,65
7503,JD,1975,Spring,1975Spring,86.7,35,Anchovy,T48,21,5.88,2.71,3.11,0.78,65
7503,JD,1975,Spring,1975Spring,80,60,Anchovy,T6,21.67,0.10,3.50,2.55,2.82,65
7803,JD,1978,Spring,1978Spring,86.7,33,Anchovy,U21,19.5,2.62,2.94,2.46,3.45,77
7804,JD,1978,Spring,1978Spring,76.7,48,Anchovy,U23,18.5,8.31,2.52,2.15,7.02,77
7804,JD,1978,Spring,1978Spring,76.7,48,Anchovy,U26,19.67,9.26,2.04,1.90,12.59,77
7804,JD,1978,Spring,1978Spring,83.3,55,Anchovy,U30,20.17,5.01,3.32,3.02,0.95,77
7804,JD,1978,Spring,1978Spring,83.3,55,Anchovy,U31,19.83,8.14,2.26,2.13,7.47,77
6004,HO,1960,Spring,1960Spring,90,37,Anchovy,W17,20.67,2.64,3.20,2.68,2.07,5
6004,HO,1960,Spring,1960Spring,90,37,Anchovy,W18,19.67,0.13,2.86,2.29,5.09,5
6005,OR,1960,Spring,1960Spring,90,65,Anchovy,W28,18.83,5.45,2.73,3.00,1.01,5
6005,OR,1960,Spring,1960Spring,90,65,Anchovy,W35,18.33,2.20,3.11,2.65,2.26,5
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W41,22,-2.90,2.18,2.88,1.33,5
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W43,19,-0.79,2.90,2.63,2.34,5
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W45,18,2.73,2.62,2.43,3.71,5
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W46,20,-0.89,2.60,2.69,2.03,5
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W54,18.5,3.49,2.75,2.39,4.08,5
6005,OR,1960,Spring,1960Spring,93.3,85,Anchovy,W71,19.67,-2.45,3.85,2.97,1.06,5
6005,OR,1960,Spring,1960Spring,93.3,85,Anchovy,W72,18.17,0.71,3.10,2.39,4.09,5
6304,AX,1963,Spring,1963Spring,90,65,Anchovy,Y14,19,5.34,2.49,2.90,1.25,17
6304,AX,1963,Spring,1963Spring,86.7,33,Anchovy,Y30,19.67,4.86,3.14,2.85,1.42,17
6304,BD,1963,Spring,1963Spring,93.3,80,Anchovy,Y41,19.33,2.86,3.01,2.33,4.70,17
6304,BD,1963,Spring,1963Spring,93.3,80,Anchovy,Y49,19.67,3.36,1.72,2.40,3.94,17
6304,AX,1963,Spring,1963Spring,80,100,Anchovy,Y5,21.67,5.36,3.01,2.41,3.92,17
6304,AX,1963,Spring,1963Spring,90,37,Anchovy,Y7,20.67,5.16,2.97,2.52,3.02,17
6304,AX,1963,Spring,1963Spring,90,37,Anchovy,Y8,19.17,7.21,2.18,2.50,3.17,17
6401,AX,1964,Winter,1964Winter,80.8,54,Anchovy,Z1,18.83,2.13,3.19,2.68,2.08,23
6401,BD,1964,Winter,1964Winter,93.3,26.5,Anchovy,Z11,21,5.48,3.07,2.69,2.04,23
6401,BD,1964,Winter,1964Winter,93.3,26.5,Anchovy,Z12,19.67,5.30,2.95,2.38,4.20,23
6401,BD,1964,Winter,1964Winter,93.3,26.5,Anchovy,Z15,21.5,0.76,3.55,2.80,1.58,23
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z22,19.17,3.57,2.84,2.74,1.80,23
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z23,20,4.64,2.69,2.55,2.82,23
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z24,18.83,-8.07,3.76,3.65,0.22,23
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z27,20.33,6.27,2.61,3.15,0.71,23
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z30,18.17,3.35,2.90,2.74,1.83,23
6404,AX,1964,Spring,1964Spring,80,80,Anchovy,Z35,18.83,1.55,3.02,2.66,2.19,21
6404,AX,1964,Spring,1964Spring,86.7,80,Anchovy,Z42,18.83,10.00,2.04,1.80,15.73,21
6404,AX,1964,Spring,1964Spring,90,70,Anchovy,Z50,18.33,9.97,2.09,1.83,14.90,21
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z60,20.17,5.13,2.93,2.93,1.18,21
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z64,22.83,2.41,3.01,2.52,3.02,21
6401,AX,1964,Winter,1964Winter,81.5,50.4,Anchovy,Z7,18.33,2.70,2.81,2.62,2.40,23
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z73,21,6.08,2.51,2.21,6.23,21
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z75,18,4.66,2.76,2.35,4.43,21
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ1,22.67,-4.56,3.95,3.02,0.96,43
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ14,18.17,6.00,2.48,1.90,12.67,43
6902,AX,1969,Winter,1969Winter,83.3,51,Anchovy,ZZ22,19.17,4.77,2.83,2.84,1.44,43
6902,JD,1969,Winter,1969Winter,93.3,27,Anchovy,ZZ33,19.67,2.85,2.51,2.59,2.58,43
6902,JD,1969,Winter,1969Winter,93.3,27,Anchovy,ZZ36,19.33,1.81,3.00,2.20,6.29,43
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ6,18,4.01,2.91,2.53,2.94,43
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ7,19.17,4.31,2.66,2.32,4.75,43
