Cruise_no,Ship_code,Year,Season,YearSeason,Line,Station,Species,Larval_ID,SL_mm,Phe_d15N,TP_Glu_Phe,TP_Trp_Scr,Energy_20
8605,JD,1986,Spring,1986Spring,76.7,70,Anchovy,F14,22.33,8.444966968,2.710705735,2.420502699,10.16
8605,JD,1986,Spring,1986Spring,80,51,Anchovy,F15,22.33,4.671504195,2.874830174,2.714587195,6.33
8605,JD,1986,Spring,1986Spring,83.3,51,Anchovy,F19,19.83,3.389776173,2.968831845,2.51617547,8.71
8605,JD,1986,Spring,1986Spring,83.3,51,Anchovy,F20,18.5,4.884883483,2.487555694,2.133928742,16.12
8605,JD,1986,Spring,1986Spring,86.7,33,Anchovy,F23,20,-0.642517463,3.55357669,2.935340043,4.44
8605,JD,1986,Spring,1986Spring,86.7,45,Anchovy,F25,18.5,3.01308706,2.950933477,2.566209233,8.04
8605,JD,1986,Spring,1986Spring,86.7,55,Anchovy,F28,19.17,2.476208374,3.129463428,2.459831229,9.54
8605,JD,1986,Spring,1986Spring,86.7,55,Anchovy,F29,18.83,-0.305411117,3.34442317,2.530624634,8.51
8605,JD,1986,Spring,1986Spring,86.7,60,Anchovy,F31,18.33,2.543294434,2.938636296,2.174873625,15.09
8605,JD,1986,Spring,1986Spring,90,53,Anchovy,F32,18.33,2.243922531,3.009858221,2.590478782,7.73
8605,JD,1986,Spring,1986Spring,93.3,35,Anchovy,F37,18.5,3.13,2.866666667,2.685945661,6.63
8605,JD,1986,Spring,1986Spring,93.3,70,Anchovy,F39,20,1.916767227,3.09995924,2.501898552,8.92
8703,JD,1987,Spring,1987Spring,76.7,51,Anchovy,G1,18.67,-1.713461782,3.794230469,3.031057077,3.80
8703,JD,1987,Spring,1987Spring,81.8,46.9,Anchovy,G10,19.83,4.798368957,2.684587613,2.638683723,7.15
8703,JD,1987,Spring,1987Spring,86.7,100,Anchovy,G15,18.83,-2.188507707,3.091758093,2.873648961,4.90
8703,JD,1987,Spring,1987Spring,90,70,Anchovy,G16,20,1.231372482,3.477553392,2.903728101,4.67
8703,JD,1987,Spring,1987Spring,90,80,Anchovy,G17,18.83,3.370432834,3.183640385,2.924967795,4.51
8703,JD,1987,Spring,1987Spring,76.7,51,Anchovy,G2,20.67,5.712801492,2.891321436,2.510760257,8.79
8705,JD,1987,Spring,1987Spring,83.3,60,Anchovy,G34,19.67,0.734989698,3.091064906,2.681919444,6.67
8705,JD,1987,Spring,1987Spring,83.3,60,Anchovy,G35,19.33,-0.221004451,3.501474482,2.872772491,4.91
8705,JD,1987,Spring,1987Spring,86.7,45,Anchovy,G36,18,3.259963425,3.172541627,2.78609171,5.64
8705,JD,1987,Spring,1987Spring,90,70,Anchovy,G38,20.83,0.469492788,3.40687163,2.771182265,5.78
8703,JD,1987,Spring,1987Spring,76.7,51,Anchovy,G4,18.33,4.183051825,2.940397623,2.829050121,5.27
8705,JD,1987,Spring,1987Spring,90,70,Anchovy,G42,19.17,3.129966137,3.200651437,2.796134224,5.55
8705,JD,1987,Spring,1987Spring,90,70,Anchovy,G45,18.83,-4.440744981,4.223466338,3.327515637,2.36
8705,JD,1987,Spring,1987Spring,93.3,55,Anchovy,G47,20,-0.66,3.778947368,2.771726606,5.78
8705,JD,1987,Spring,1987Spring,93.3,70,Anchovy,G49,20,3.153821761,3.016174712,2.903593613,4.67
8801,JD,1988,Winter,1988Winter,76.7,60,Anchovy,H1,19,1.83911551,2.907993252,2.52409202,8.60
8801,JD,1988,Winter,1988Winter,83.3,70,Anchovy,H18,18.17,-1.926926432,3.514840196,2.661985352,6.89
8801,JD,1988,Winter,1988Winter,83.3,80,Anchovy,H21,20.17,-0.655761272,3.388665895,3.087225651,3.48
8801,JD,1988,Winter,1988Winter,76.7,60,Anchovy,H3,18.83,2.202042285,2.727469647,2.452560994,9.65
8801,JD,1988,Winter,1988Winter,86.7,55,Anchovy,H30,18.33,1.6178587,2.636969421,2.694279215,6.54
8801,JD,1988,Winter,1988Winter,86.7,80,Anchovy,H31,19,-3.010229944,3.952699134,3.047541219,3.70
8801,JD,1988,Winter,1988Winter,90,45,Anchovy,H34,19.33,1.061138232,2.994847885,2.932128952,4.46
8801,JD,1988,Winter,1988Winter,90,45,Anchovy,H35,20,-1.045209309,3.559417677,2.792076871,5.59
8801,JD,1988,Winter,1988Winter,90,70,Anchovy,H38,21.17,1.331812628,3.419984236,2.819061104,5.35
8801,JD,1988,Winter,1988Winter,76.7,60,Anchovy,H4,20.83,3.326767986,2.556799383,2.299638669,12.35
8801,JD,1988,Winter,1988Winter,83.3,70,Anchovy,H9,19.83,2.154851466,3.120689705,3.217174768,2.82
8901,JD,1989,Winter,1989Winter,76.7,55,Anchovy,I13,19.67,1.986090591,3.162446848,2.62222561,7.35
8901,JD,1989,Winter,1989Winter,76.7,55,Anchovy,I14,18.17,1.168188296,3.273179338,2.929767977,4.48
8901,JD,1989,Winter,1989Winter,76.7,49,Anchovy,I2,18.67,-1.821571467,2.662015607,2.906559738,4.65
8901,JD,1989,Winter,1989Winter,81.1,46.9,Anchovy,I24,18.67,0.733744049,3.252458616,2.791455232,5.59
8901,JD,1989,Winter,1989Winter,83.3,42,Anchovy,I34,19,-1.87,3.045614035,2.525729858,8.58
8901,JD,1989,Winter,1989Winter,76.7,49,Anchovy,I4,21.83,2.250103705,2.90865851,2.368874233,11.04
8901,JD,1989,Winter,1989Winter,83.3,42,Anchovy,I41,18.83,1.170427132,3.268810973,3.193726414,2.93
8901,JD,1989,Winter,1989Winter,83.3,51,Anchovy,I44,19.5,0.94203883,2.732117112,2.496153428,9.00
8901,JD,1989,Winter,1989Winter,83.3,55,Anchovy,I50,20.5,2.198433788,2.649713736,2.264201505,13.07
8901,JD,1989,Winter,1989Winter,83.3,55,Anchovy,I51,18,-3.70518752,3.228784683,3.442156873,1.96
8901,JD,1989,Winter,1989Winter,76.7,49,Anchovy,I8,20.5,2.090310144,2.931608866,2.875861713,4.88
9003,JD,1990,Spring,1990Spring,76.7,55,Anchovy,J1,20.17,0.387267618,3.354614882,2.734932658,6.13
9004,JD,1990,Spring,1990Spring,80,51,Anchovy,J100,19.33,5.278021528,2.660497181,2.598802962,7.63
9004,JD,1990,Spring,1990Spring,90,45,Anchovy,J102,20.17,4.98,3.071929825,2.958371858,4.28
9004,JD,1990,Spring,1990Spring,90,45,Anchovy,J103,19.5,-0.27766211,3.634634529,3.195907848,2.92
9004,JD,1990,Spring,1990Spring,93.3,30,Anchovy,J104,21.17,3.249123871,3.064740648,2.598663895,7.63
9004,JD,1990,Spring,1990Spring,93.3,40,Anchovy,J105,21.67,1.773801743,2.717097165,3.106137086,3.37
9003,JD,1990,Spring,1990Spring,80,60,Anchovy,J24,20,-2.363899533,3.903905494,3.26325367,2.62
9003,JD,1990,Spring,1990Spring,81.8,46.9,Anchovy,J26,18.33,5.956758406,2.317909201,2.470342104,9.38
9003,JD,1990,Spring,1990Spring,76.7,60,Anchovy,J3,18.5,1.93449432,3.274970076,2.898320704,4.71
9003,JD,1990,Spring,1990Spring,83.3,55,Anchovy,J42,19.5,1.32,3.350877193,2.932870083,4.46
9003,JD,1990,Spring,1990Spring,76.7,70,Anchovy,J5,19,1.234254375,3.226173986,2.610250117,7.49
9003,JD,1990,Spring,1990Spring,86.7,35,Anchovy,J55,18.67,-1.214808051,3.438581732,2.759957344,5.89
9003,JD,1990,Spring,1990Spring,90,53,Anchovy,J63,19.83,3.471029482,3.02599882,2.380617807,10.84
9003,JD,1990,Spring,1990Spring,90,60,Anchovy,J64,19.17,2.058513949,3.469260262,2.773500285,5.76
9003,JD,1990,Spring,1990Spring,93.3,55,Anchovy,J84,19.67,2.829747751,2.488808179,2.410973018,10.32
9003,JD,1990,Spring,1990Spring,93.3,60,Anchovy,J95,20,2.288531196,3.064467364,2.819318368,5.35
9003,JD,1990,Spring,1990Spring,93.3,70,Anchovy,J96,21,1.609562063,3.124662991,2.372090549,10.99
9004,JD,1990,Spring,1990Spring,80,51,Anchovy,J99,22,2.407580118,3.442657724,2.587308887,7.77
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,K17,19.17,1.381508349,3.58366579,3.052550632,3.68
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,K19,18.67,1.59300784,3.381750151,2.964479511,4.23
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,K3,18.33,2.631734153,2.979809361,2.921405259,4.54
9204,JD,1992,Spring,1992Spring,93.3,40,Anchovy,L14,19.33,0.18900691,3.360271795,2.811687765,5.42
9204,JD,1992,Spring,1992Spring,93.3,60,Anchovy,L18,18.33,1.515194807,2.933437702,3.076526231,3.54
9204,JD,1992,Spring,1992Spring,93.3,60,Anchovy,L19,19,3.220896565,2.743596123,2.256255754,13.24
9204,JD,1992,Spring,1992Spring,93.3,60,Anchovy,L20,20.17,0.283400714,3.257968079,2.995659648,4.03
9204,JD,1992,Spring,1992Spring,76.7,90,Anchovy,L3,18.5,4.693116615,2.991601538,2.637005021,7.17
9204,JD,1992,Spring,1992Spring,80,70,Anchovy,L5,22.5,3.078977429,3.294894937,3.09923954,3.41
9204,JD,1992,Spring,1992Spring,86.7,50,Anchovy,L6,18.17,0.271494777,3.305598373,2.731475466,6.16
9204,JD,1992,Spring,1992Spring,86.7,55,Anchovy,L7,18,1.685195301,3.149557013,2.753669343,5.95
9304,JD,1993,Spring,1993Spring,80,55,Anchovy,M1,19.33,2.422311407,2.705085188,2.812881065,5.41
9304,JD,1993,Spring,1993Spring,80,55,Anchovy,M2,22.17,-0.205086627,3.206682295,2.958633844,4.27
9304,JD,1993,Spring,1993Spring,80,55,Anchovy,M3,18.17,1.933739708,3.054567364,2.544583618,8.32
9304,JD,1993,Spring,1993Spring,86.7,50,Anchovy,M6,18,5.380854489,2.525727817,2.345855564,11.46
9304,JD,1993,Spring,1993Spring,86.7,60,Anchovy,M7,22.33,3.911479061,3.147214938,2.845762875,5.13
9304,JD,1993,Spring,1993Spring,93.3,28,Anchovy,M8,20.33,5.867299127,2.610553492,2.774989814,5.74
9304,JD,1993,Spring,1993Spring,93.3,28,Anchovy,M9,21.33,7.383005218,2.574452552,2.600486463,7.61
9401,JD,1994,Winter,1994Winter,80,70,Anchovy,N15,18.67,3.08394976,3.225017309,2.869468779,4.93
9401,JD,1994,Winter,1994Winter,83.3,60,Anchovy,N16,20.17,2.836346664,3.237310783,2.576875983,7.90
9401,JD,1994,Winter,1994Winter,83.3,70,Anchovy,N17,19.33,9.842951459,2.279581801,2.150647493,15.69
9401,JD,1994,Winter,1994Winter,83.3,70,Anchovy,N18,18.33,-1.436523265,3.941668419,2.883982216,4.82
9401,JD,1994,Winter,1994Winter,80,55,Anchovy,N9,19.17,-0.332534144,3.691776649,3.028226903,3.82
9604,JD,1996,Spring,1996Spring,76.7,49,Anchovy,O1,21.5,4.409040036,3.036742123,2.783365268,5.67
9604,JD,1996,Spring,1996Spring,93.3,40,Anchovy,O15,20.5,1.955758881,2.648313804,2.66042006,6.91
9604,JD,1996,Spring,1996Spring,80,51,Anchovy,O2,18.5,2.11,2.929824561,2.750421187,5.98
9604,JD,1996,Spring,1996Spring,83.3,70,Anchovy,O3,22.5,1.682075933,3.190910142,2.648325268,7.04
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O5,19,1.826263155,3.430020572,2.462688605,9.50
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O6,19.33,-0.31,2.99122807,2.680559808,6.69
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O7,19.17,4.158569639,2.694474845,2.47789542,9.27
9604,JD,1996,Spring,1996Spring,86.7,45,Anchovy,O9,18.5,2.912789789,2.900111889,2.403788409,10.44
9804,JD,1998,Spring,1998Spring,93.3,28,Anchovy,P16,19.17,0.406049026,3.566693835,3.035576738,3.78
9804,JD,1998,Spring,1998Spring,93.3,28,Anchovy,P18,18.33,2.3437937,2.882039197,2.683684528,6.65
9804,JD,1998,Spring,1998Spring,83.3,55,Anchovy,P6,20.67,2.477807608,2.839225757,2.600119166,7.61
9804,JD,1998,Spring,1998Spring,90,28,Anchovy,P7,18.67,5.602670731,2.877297725,2.677054694,6.73
504,NH,2005,Spring,2005Spring,93.3,35,Anchovy,Q13,19.17,6.185371219,2.389132863,2.567805814,8.02
504,NH,2005,Spring,2005Spring,93.3,35,Anchovy,Q15,21,2.58677091,2.658243033,2.368024411,11.06
504,NH,2005,Spring,2005Spring,86.7,35,Anchovy,Q2,19.17,2.71,2.971929825,2.449068507,9.71
504,NH,2005,Spring,2005Spring,86.7,35,Anchovy,Q3,19.83,1.604270826,3.512501846,3.086106911,3.48
504,NH,2005,Spring,2005Spring,93.3,40,Anchovy,Q34,20.83,4.471349779,2.808366618,2.4362378,9.91
504,NH,2005,Spring,2005Spring,90,37,Anchovy,Q7,20.83,4.62,2.856140351,2.603997806,7.56
504,NH,2005,Spring,2005Spring,90,37,Anchovy,Q9,18,3.407063656,3.029496204,2.653362292,6.99
8104,PN,1981,Spring,1981Spring,83.3,60,Anchovy,R17,19.17,5.481698554,2.782377411,2.887237026,4.80
8104,PN,1981,Spring,1981Spring,80,55,Anchovy,R2,18.17,-5.375446857,4.585635824,3.832741317,1.05
8104,PN,1981,Spring,1981Spring,86.7,50,Anchovy,R24,21.83,8.789092015,2.103753308,1.932422839,22.30
8104,PN,1981,Spring,1981Spring,80,60,Anchovy,R4,20.33,0.710294127,3.523121109,2.730906563,6.17
8104,PN,1981,Spring,1981Spring,80,60,Anchovy,R5,18.33,3.916718268,3.079588736,2.279088781,12.76
8104,PN,1981,Spring,1981Spring,80,60,Anchovy,R6,20.5,6.155791175,2.762522218,2.35225615,11.34
7503,JD,1975,Spring,1975Spring,81.5,46,Anchovy,T12,19.17,-5.76,3.015789474,3.071635418,3.56
7503,JD,1975,Spring,1975Spring,83.3,43,Anchovy,T18,18.33,0.417497689,3.091445933,2.877633866,4.87
7503,JD,1975,Spring,1975Spring,83.3,50,Anchovy,T27,18.67,3.319760131,2.639110301,2.367936858,11.06
7503,JD,1975,Spring,1975Spring,86.7,32.5,Anchovy,T29,22.33,1.551612946,3.571590315,2.735484868,6.12
7503,JD,1975,Spring,1975Spring,86.7,32.5,Anchovy,T36,18.33,0.910418559,2.855523082,2.48585858,9.15
7503,JD,1975,Spring,1975Spring,86.7,32.7,Anchovy,T38,18.5,4.299327744,2.789437101,2.509332943,8.81
7503,JD,1975,Spring,1975Spring,86.7,32.7,Anchovy,T40,20,5.362215487,2.400019654,2.462203133,9.50
7503,JD,1975,Spring,1975Spring,86.7,35,Anchovy,T48,21,5.877010668,2.705074911,3.109743998,3.35
7503,JD,1975,Spring,1975Spring,80,60,Anchovy,T6,21.67,0.095563769,3.501539797,2.550197364,8.25
7803,JD,1978,Spring,1978Spring,86.7,33,Anchovy,U21,19.5,2.618178498,2.941239541,2.461630762,9.51
7804,JD,1978,Spring,1978Spring,76.7,48,Anchovy,U23,18.5,8.308848501,2.517672628,2.153765155,15.61
7804,JD,1978,Spring,1978Spring,76.7,48,Anchovy,U26,19.67,9.255842463,2.035727666,1.899983994,23.49
7804,JD,1978,Spring,1978Spring,83.3,55,Anchovy,U30,20.17,5.012060546,3.317426074,3.020886999,3.87
7804,JD,1978,Spring,1978Spring,83.3,55,Anchovy,U31,19.83,8.140092498,2.256886975,2.126585108,16.31
6004,HO,1960,Spring,1960Spring,90,37,Anchovy,W17,20.67,2.635069989,3.200252611,2.68415961,6.65
6004,HO,1960,Spring,1960Spring,90,37,Anchovy,W18,19.67,0.128679488,2.859565978,2.292874985,12.48
6005,OR,1960,Spring,1960Spring,90,65,Anchovy,W28,18.83,5.454130943,2.733401101,2.995670802,4.03
6005,OR,1960,Spring,1960Spring,90,65,Anchovy,W35,18.33,2.197962691,3.108520413,2.645467149,7.08
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W41,22,-2.904737057,2.179226112,2.876501496,4.88
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W43,19,-0.790937938,2.896616317,2.631230089,7.24
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W45,18,2.734125531,2.621991427,2.43115154,9.99
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W46,20,-0.89,2.6,2.69284303,6.56
6005,OR,1960,Spring,1960Spring,93.3,60,Anchovy,W54,18.5,3.488850147,2.745167748,2.389836017,10.68
6005,OR,1960,Spring,1960Spring,93.3,85,Anchovy,W71,19.67,-2.450517847,3.849622793,2.973227997,4.18
6005,OR,1960,Spring,1960Spring,93.3,85,Anchovy,W72,18.17,0.711108413,3.100827259,2.388519429,10.70
6304,AX,1963,Spring,1963Spring,90,65,Anchovy,Y14,19,5.339686012,2.494375106,2.904485122,4.66
6304,AX,1963,Spring,1963Spring,86.7,33,Anchovy,Y30,19.67,4.85660351,3.142895474,2.846900039,5.12
6304,BD,1963,Spring,1963Spring,93.3,80,Anchovy,Y41,19.33,2.859241593,3.014782912,2.327638946,11.80
6304,BD,1963,Spring,1963Spring,93.3,80,Anchovy,Y49,19.67,3.36,1.71754386,2.404153722,10.44
6304,AX,1963,Spring,1963Spring,80,100,Anchovy,Y5,21.67,5.35971568,3.005118798,2.406883539,10.39
6304,AX,1963,Spring,1963Spring,90,37,Anchovy,Y7,20.67,5.164614509,2.967045545,2.520388185,8.65
6304,AX,1963,Spring,1963Spring,90,37,Anchovy,Y8,19.17,7.205155897,2.183703349,2.498438065,8.97
6401,AX,1964,Winter,1964Winter,80.8,54,Anchovy,Z1,18.83,2.129842455,3.191853639,2.68104905,6.68
6401,BD,1964,Winter,1964Winter,93.3,26.5,Anchovy,Z11,21,5.480127467,3.065977366,2.689968785,6.59
6401,BD,1964,Winter,1964Winter,93.3,26.5,Anchovy,Z12,19.67,5.301525845,2.949951004,2.376948084,10.90
6401,BD,1964,Winter,1964Winter,93.3,26.5,Anchovy,Z15,21.5,0.761482133,3.547736133,2.801956167,5.50
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z22,19.17,3.571542702,2.83855526,2.743811511,6.04
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z23,20,4.640409311,2.690324509,2.549925557,8.25
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z24,18.83,-8.069397989,3.756295824,3.654108229,1.40
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z27,20.33,6.274125531,2.605850136,3.150091527,3.14
6401,BD,1964,Winter,1964Winter,93.3,28,Anchovy,Z30,18.17,3.347833123,2.900215022,2.737180144,6.11
6404,AX,1964,Spring,1964Spring,80,80,Anchovy,Z35,18.83,1.55266087,3.016126391,2.658697511,6.93
6404,AX,1964,Spring,1964Spring,86.7,80,Anchovy,Z42,18.83,10,2.035087719,1.803355024,27.44
6404,AX,1964,Spring,1964Spring,90,70,Anchovy,Z50,18.33,9.967875619,2.091719272,1.826955639,26.42
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z60,20.17,5.12540808,2.926933103,2.92699744,4.50
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z64,22.83,2.414775621,3.013197259,2.519475247,8.67
6401,AX,1964,Winter,1964Winter,81.5,50.4,Anchovy,Z7,18.33,2.699128125,2.808348525,2.619497444,7.38
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z73,21,6.077989932,2.510322574,2.205430193,14.37
6404,AX,1964,Spring,1964Spring,93.3,35,Anchovy,Z75,18,4.655116218,2.758613574,2.35330724,11.33
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ1,22.67,-4.555704446,3.946524,3.018305826,3.88
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ14,18.17,5.996129385,2.476270854,1.897186686,23.60
6902,AX,1969,Winter,1969Winter,83.3,51,Anchovy,ZZ22,19.17,4.769666378,2.83047639,2.840139081,5.17
6902,JD,1969,Winter,1969Winter,93.3,27,Anchovy,ZZ33,19.67,2.852265743,2.509220241,2.588488622,7.76
6902,JD,1969,Winter,1969Winter,93.3,27,Anchovy,ZZ36,19.33,1.806831203,2.998157682,2.201336328,14.46
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ6,18,4.012494773,2.910791886,2.531078481,8.51
6902,AX,1969,Winter,1969Winter,80,51,Anchovy,ZZ7,19.17,4.30878594,2.662683151,2.32347185,11.88
